;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B? GIÁO D?C VÀ ?ÀO T?O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TR??NG TI?U H?C ?? V?N N?I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C?p h?c: Ti?u h?c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N?m h?c: 2025-2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ngày: 23-02-2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B?NG PHÂN PH?I CH??NG TRÌNH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Môn Khoa h?c, Phân môn Chính, L?p 5/4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STT;Tu?n;Ti?t PPCT;Tên bài h?c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;29;57;Bài 26: Phòng tránh b? xâm h?i (ti?t 2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;29;58;Bài 26: Phòng tránh b? xâm h?i (ti?t 3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;30;59;Bài 26: Phòng tránh b? xâm h?i (ti?t 4);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;30;60;Bài 27: Ôn t?p ch? ?? con ng??i và s?c kho?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;31;61;Bài 28: Ch?c n?ng c?a môi tr??ng ??i v?i sinh v?t (ti?t 1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;31;62;Bài 28: Ch?c n?ng c?a môi tr??ng ??i v?i sinh v?t (ti?t 2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;32;63;Bài 28: Ch?c n?ng c?a môi tr??ng ??i v?i sinh v?t (ti?t 3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;32;64;Bài 28: Ch?c n?ng c?a môi tr??ng ??i v?i sinh v?t (ti?t 4);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;33;65;Bài 29: Tác ??ng c?a con ng??i và m?t s? bi?n pháp b?o v? môi tr??ng (ti?t 1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;33;66;Bài 29: Tác ??ng c?a con ng??i và m?t s? bi?n pháp b?o v? môi tr??ng (ti?t 2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;34;67;Bài 29: Tác ??ng c?a con ng??i và m?t s? bi?n pháp b?o v? môi tr??ng (ti?t 3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;34;68;Bài 30: Ôn t?p ch? ?? sinh v?t và môi tr??ng;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;35;69;Ôn t?p cu?i n?m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;35;70;Ki?m tra cu?i n?m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
